Year,Period,Consumer Price Index,Over-the-Year Percent Change,CPI_MOM,Dates
1924,December,17.3,0.00%,0.60%,01-12-1924
1925,January,17.3,0.00%,0.00%,01-01-1925
1925,February,17.2,0.00%,-0.60%,01-02-1925
1925,March,17.3,1.20%,0.60%,01-03-1925
1925,April,17.2,1.20%,-0.60%,01-04-1925
1925,May,17.3,1.80%,0.60%,01-05-1925
1925,June,17.5,2.90%,1.20%,01-06-1925
1925,July,17.7,3.50%,1.10%,01-07-1925
1925,August,17.7,4.10%,0.00%,01-08-1925
1925,September,17.7,3.50%,0.00%,01-09-1925
1925,October,17.7,2.90%,0.00%,01-10-1925
1925,November,18,4.70%,1.70%,01-11-1925
1925,December,17.9,3.50%,-0.60%,01-12-1925
1926,January,17.9,3.50%,0.00%,01-01-1926
1926,February,17.9,4.10%,0.00%,01-02-1926
1926,March,17.8,2.90%,-0.60%,01-03-1926
1926,April,17.9,4.10%,0.60%,01-04-1926
1926,May,17.8,2.90%,-0.60%,01-05-1926
1926,June,17.7,1.10%,-0.60%,01-06-1926
1926,July,17.5,-1.10%,-1.10%,01-07-1926
1926,August,17.4,-1.70%,-0.60%,01-08-1926
1926,September,17.5,-1.10%,0.60%,01-09-1926
1926,October,17.6,-0.60%,0.60%,01-10-1926
1926,November,17.7,-1.70%,0.60%,01-11-1926
1926,December,17.7,-1.10%,0.00%,01-12-1926
1927,January,17.5,-2.20%,-1.10%,01-01-1927
1927,February,17.4,-2.80%,-0.60%,01-02-1927
1927,March,17.3,-2.80%,-0.60%,01-03-1927
1927,April,17.3,-3.40%,0.00%,01-04-1927
1927,May,17.4,-2.20%,0.60%,01-05-1927
1927,June,17.6,-0.60%,1.10%,01-06-1927
1927,July,17.3,-1.10%,-1.70%,01-07-1927
1927,August,17.2,-1.10%,-0.60%,01-08-1927
1927,September,17.3,-1.10%,0.60%,01-09-1927
1927,October,17.4,-1.10%,0.60%,01-10-1927
1927,November,17.3,-2.30%,-0.60%,01-11-1927
1927,December,17.3,-2.30%,0.00%,01-12-1927
1928,January,17.3,-1.10%,0.00%,01-01-1928
1928,February,17.1,-1.70%,-1.20%,01-02-1928
1928,March,17.1,-1.20%,0.00%,01-03-1928
1928,April,17.1,-1.20%,0.00%,01-04-1928
1928,May,17.2,-1.10%,0.60%,01-05-1928
1928,June,17.1,-2.80%,-0.60%,01-06-1928
1928,July,17.1,-1.20%,0.00%,01-07-1928
1928,August,17.1,-0.60%,0.00%,01-08-1928
1928,September,17.3,0.00%,1.20%,01-09-1928
1928,October,17.2,-1.10%,-0.60%,01-10-1928
1928,November,17.2,-0.60%,0.00%,01-11-1928
1928,December,17.1,-1.20%,-0.60%,01-12-1928
1929,January,17.1,-1.20%,0.00%,01-01-1929
1929,February,17.1,0.00%,0.00%,01-02-1929
1929,March,17,-0.60%,-0.60%,01-03-1929
1929,April,16.9,-1.20%,-0.60%,01-04-1929
1929,May,17,-1.20%,0.60%,01-05-1929
1929,June,17.1,0.00%,0.60%,01-06-1929
1929,July,17.3,1.20%,1.20%,01-07-1929
1929,August,17.3,1.20%,0.00%,01-08-1929
1929,September,17.3,0.00%,0.00%,01-09-1929
1929,October,17.3,0.60%,0.00%,01-10-1929
1929,November,17.3,0.60%,0.00%,01-11-1929
1929,December,17.2,0.60%,-0.60%,01-12-1929
1930,January,17.1,0.00%,-0.60%,01-01-1930
1930,February,17,-0.60%,-0.60%,01-02-1930
1930,March,16.9,-0.60%,-0.60%,01-03-1930
1930,April,17,0.60%,0.60%,01-04-1930
1930,May,16.9,-0.60%,-0.60%,01-05-1930
1930,June,16.8,-1.80%,-0.60%,01-06-1930
1930,July,16.6,-4.00%,-1.20%,01-07-1930
1930,August,16.5,-4.60%,-0.60%,01-08-1930
1930,September,16.6,-4.00%,0.60%,01-09-1930
1930,October,16.5,-4.60%,-0.60%,01-10-1930
1930,November,16.4,-5.20%,-0.60%,01-11-1930
1930,December,16.1,-6.40%,-1.80%,01-12-1930
1931,January,15.9,-7.00%,-1.20%,01-01-1931
1931,February,15.7,-7.60%,-1.30%,01-02-1931
1931,March,15.6,-7.70%,-0.60%,01-03-1931
1931,April,15.5,-8.80%,-0.60%,01-04-1931
1931,May,15.3,-9.50%,-1.30%,01-05-1931
1931,June,15.1,-10.10%,-1.30%,01-06-1931
